tweet_id,favorites,retweets,user_followers,user_favourites,date_time
765371061932261376,7060,2161,8822108,145808,2016-08-16 02:14:15+00:00
765222098633691136,11619,3380,8822108,145808,2016-08-15 16:22:20+00:00
764857477905154048,6446,1772,8822108,145808,2016-08-14 16:13:27+00:00
764259802650378240,6009,1496,8822107,145808,2016-08-13 00:38:30+00:00
763956972077010945,759,54,8822107,145808,2016-08-12 04:35:10+00:00
763837565564780549,12552,4144,8822107,145808,2016-08-11 20:40:41+00:00
763183847194451968,5373,1463,8822107,145808,2016-08-10 01:23:03+00:00
763167063695355904,0,3003,8822107,145808,2016-08-10 00:16:21+00:00
763103485927849985,7345,2288,8822107,145808,2016-08-09 20:03:43+00:00
762699858130116608,12116,3606,8822107,145808,2016-08-08 17:19:51+00:00
762471784394268675,11197,6389,8822107,145808,2016-08-08 02:13:34+00:00
762464539388485633,10274,4162,8822107,145808,2016-08-08 01:44:46+00:00
762316489655476224,4790,1120,8822107,145808,2016-08-07 15:56:28+00:00
762035686371364864,31782,15495,8822107,145808,2016-08-06 21:20:40+00:00
761976711479193600,5398,2001,8822107,145808,2016-08-06 17:26:19+00:00
761750502866649088,0,3896,8822107,145808,2016-08-06 02:27:27+00:00
761745352076779520,4267,859,8822107,145808,2016-08-06 02:06:59+00:00
761672994376806400,49379,28975,8822107,145808,2016-08-05 21:19:27+00:00
761599872357261312,4118,1185,8822107,145808,2016-08-05 16:28:54+00:00
761371037149827077,0,17992,8822107,145808,2016-08-05 01:19:35+00:00
761334018830917632,5184,1443,8822107,145808,2016-08-04 22:52:29+00:00
761292947749015552,4478,1081,8822107,145808,2016-08-04 20:09:17+00:00
761227390836215808,5317,1560,8822107,145808,2016-08-04 15:48:47+00:00
761004547850530816,11307,3456,8822107,145808,2016-08-04 01:03:17+00:00
760893934457552897,3809,972,8822107,145808,2016-08-03 17:43:45+00:00
760656994973933572,6569,1901,8822107,145808,2016-08-03 02:02:14+00:00
760641137271070720,4969,1293,8822108,145808,2016-08-03 00:59:13+00:00
760539183865880579,7544,3604,8822108,145808,2016-08-02 18:14:06+00:00
760521673607086080,4208,1384,8822108,145808,2016-08-02 17:04:31+00:00
760290219849637889,26713,11432,8822108,145808,2016-08-02 01:44:48+00:00
760252756032651264,3942,866,8822108,145808,2016-08-01 23:15:56+00:00
760190180481531904,5684,1793,8822108,145808,2016-08-01 19:07:17+00:00
760153949710192640,0,30,8822108,145808,2016-08-01 16:43:19+00:00
759943073749200896,5939,2071,8822108,145808,2016-08-01 02:45:22+00:00
759923798737051648,14625,5616,8822108,145808,2016-08-01 01:28:46+00:00
759846353224826880,6714,1954,8822108,145808,2016-07-31 20:21:02+00:00
759793422261743616,5934,1896,8822108,145808,2016-07-31 16:50:42+00:00
759557299618865152,4675,1177,8822108,145808,2016-07-31 01:12:26+00:00
759447681597108224,8456,2443,8822108,145808,2016-07-30 17:56:51+00:00
759446261539934208,1667,484,8822108,145808,2016-07-30 17:51:13+00:00
759197388317847553,6057,1936,8822108,145808,2016-07-30 01:22:17+00:00
759159934323924993,0,1149,8822108,145808,2016-07-29 22:53:27+00:00
759099523532779520,14457,4149,8822108,145808,2016-07-29 18:53:24+00:00
759047813560868866,6464,1998,8822108,145808,2016-07-29 15:27:55+00:00
758854675097526272,3535,891,8822108,145808,2016-07-29 02:40:28+00:00
758828659922702336,11183,3819,8822108,145808,2016-07-29 00:57:05+00:00
758740312047005698,5714,1605,8822108,145808,2016-07-28 19:06:01+00:00
758474966123810816,3790,995,8822108,145808,2016-07-28 01:31:38+00:00
758467244762497024,4764,2198,8822108,145808,2016-07-28 01:00:57+00:00
758405701903519748,5197,1895,8822108,145808,2016-07-27 20:56:24+00:00
758355060040593408,3383,1061,8822108,145808,2016-07-27 17:35:10+00:00
758099635764359168,18980,9922,8822108,145808,2016-07-27 00:40:12+00:00
758041019896193024,2693,369,8822108,145808,2016-07-26 20:47:17+00:00
757741869644341248,6849,3228,8822108,145808,2016-07-26 00:58:34+00:00
757729163776290825,0,7880,8822108,145808,2016-07-26 00:08:05+00:00
757725642876129280,4525,1201,8822108,145808,2016-07-25 23:54:05+00:00
757611664640446465,4547,1099,8822108,145808,2016-07-25 16:21:11+00:00
757597904299253760,0,299,8822108,145808,2016-07-25 15:26:30+00:00
757596066325864448,4317,1047,8822108,145808,2016-07-25 15:19:12+00:00
